temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
3281,3.14157968,-1.2973589793130458E-5,-4.129638944293929E-6,-4.88693983797634,800000000,8
3407,3.141588155,-4.498589793122676E-6,-1.4319476555075934E-6,-5.346923606457772,800000000,8
3262,3.141601135,8.48141020703963E-6,2.6997094292301464E-6,-5.0715319314441,800000000,8
3336,3.141475505,-1.1714858979328113E-4,-3.729094484640304E-5,-3.931262934968705,800000000,8
3267,3.14157024,-2.241358979304664E-5,-7.134518116980456E-6,-4.649488580660091,800000000,8
32013,3.141608398,1.5744410206686155E-5,5.011576304898251E-6,-4.802873603606621,8000000000,8
32240,3.141605269,1.2615410206695543E-5,4.01559366199788E-6,-4.899098623259139,8000000000,8
31820,3.141625983,3.332941020683933E-5,1.0608968218111191E-5,-4.477172371493429,8000000000,8
32423,3.1415915635,-1.0900897930987696E-6,-3.469864783709557E-7,-5.962537726792271,8000000000,8
32237,3.141580088,-1.2565589793123166E-5,-3.999767454956942E-6,-4.900817122042561,8000000000,8
536,3.141515625,-7.702858979330429E-5,-2.4519562844225644E-5,-4.113348052944879,32000000,2
561,3.141475625,-1.1702858979312225E-4,-3.725274481259814E-5,-3.9317080282314305,32000000,2
541,3.142107875,5.152214102071007E-4,1.6397317683025146E-4,-3.2880060980131516,32000000,2
540,3.14129625,-2.964035897932149E-4,-9.435709535298204E-5,-3.5281165408480955,32000000,2
536,3.141647625,5.497141020693874E-5,1.749763715366988E-5,-4.259863121734722,32000000,2
539,3.141419125,-1.735285897930261E-4,-5.523891683604177E-5,-3.760628962564984,32000000,2
544,3.14143525,-1.574035897933257E-4,-5.0105629200323546E-5,-3.8029853672142186,32000000,2
544,3.1415625,-3.015358979308047E-5,-9.598277861121805E-6,-4.520660977569567,32000000,2
574,3.141386875,-2.057785897933151E-4,-6.550565020531421E-5,-3.6865998133360973,32000000,2
542,3.141844375,2.517214102066845E-4,8.011899386540573E-5,-3.599079843890761,32000000,2
544,3.142007625,4.1497141020707673E-4,1.3207205702025522E-4,-3.381981823328905,32000000,2
145,3.14120325,-3.8940358979333567E-4,-1.2396637810473923E-4,-3.4096000491687075,16000000,1
140,3.14141325,-1.7940358979329218E-4,-5.7109197522259194E-5,-3.746168871148002,16000000,1
129,3.14121825,-3.7440358979301536E-4,-1.191905687524308E-4,-3.4266599958852577,16000000,1
531,3.1415355,-5.715358979330176E-5,-1.8192883637094588E-5,-4.242956486555486,32000000,2
531,3.14127825,-3.144035897930664E-4,-1.000877874454663E-4,-3.502512503922644,32000000,2
515,3.141564875,-2.777858979330361E-5,-8.842277940640526E-6,-4.55628980541381,32000000,2
530,3.142021125,4.284714102067433E-4,1.3636808702447643E-4,-3.3680781511122726,32000000,2
531,3.1412315,-3.611535897931617E-4,-1.1497197509739785E-4,-3.4423080639834955,32000000,2
515,3.1417275,1.3484641020689025E-4,4.292110318507581E-5,-3.870160610561407,32000000,2
535,3.141415125,-1.7752858979314112E-4,-5.6512298670854945E-5,-3.750731696752222,32000000,2
572,6.28283025,3.141237596410207,0.49997174385066456,0.49710078673513675,16000000,1
551,3.141736875,1.4422141020675738E-4,4.590499330303E-5,-3.8409702621933532,32000000,2
598,6.28347375,3.1418810964102066,0.5000229524966515,0.4971897452647285,16000000,1
532,3.141175125,-4.1752858979293705E-4,-1.3292114357773576E-4,-3.3793137813439658,32000000,2
548,6.28235025,3.1407575964102072,0.4999335394282111,0.4970344188550857,16000000,1
520,3.14131575,-2.7690358979315377E-4,-8.81489196981086E-5,-3.557671414000716,32000000,2
536,6.2826315,3.141038846410207,0.49995592554015095,0.4970733075151143,16000000,1
551,3.14180175,2.0909641020683267E-4,6.655302493444491E-5,-3.679653423139987,32000000,2
551,6.2836035,3.142010846410207,0.5000332765124672,0.4972076799171852,16000000,1
