temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
5101,3.1416764,8.374641020703066E-5,2.665659970805098E-5,-4.0770337999411606,160000000,1
5011,3.141511475,-8.117858979295178E-5,-2.5840615397704946E-5,-4.090558497370285,160000000,1
5142,3.14181755,2.248964102067319E-4,7.158162643999869E-5,-3.6480174767113223,160000000,1
5127,3.141497425,-9.522858979327253E-5,-3.03131204359566E-5,-4.02123264693665,160000000,1
5122,3.14160725,1.45964102067353E-5,4.646160084694005E-6,-4.835753940044423,160000000,1
2654,3.1418361,2.4344641020679347E-4,7.74853946731319E-5,-3.6135966250567817,160000000,2
2568,3.141550025,-4.2628589793203275E-5,-1.3569285688265708E-5,-4.370299034117124,160000000,2
2689,3.14150785,-8.480358979312541E-5,-2.6994549701069636E-5,-4.071585763375978,160000000,2
2797,3.14140775,-1.8490358979317278E-4,-5.8860104930081993E-5,-3.733054657190031,160000000,2
3095,3.14183195,2.392964102067019E-4,7.616461160715548E-5,-3.621063816384951,160000000,2
1897,3.141549025,-4.3628589792898964E-5,-1.3887604314212145E-5,-4.360228824488776,160000000,3
1877,3.141478825,-1.1382858979303023E-4,-3.623407832234242E-5,-3.9437486445320014,160000000,3
2044,3.141563825,-2.8828589793139514E-5,-9.176509343444427E-6,-4.540176601456297,160000000,3
1938,3.141825,2.3234641020675184E-4,7.395268998329055E-5,-3.6338640330600533,160000000,3
1859,3.141729425,1.3677141020673744E-4,4.353379674213589E-5,-3.864004675182294,160000000,3
1470,3.141901225,3.0857141020668166E-4,9.821168398019313E-5,-3.5106443147105293,160000000,4
1453,3.141760975,1.6832141020683977E-4,5.357549843741368E-5,-3.7738606389659743,160000000,4
1563,3.141388,-2.0465358979304682E-4,-6.514750479502908E-5,-3.6889806330678785,160000000,4
1496,3.1416459,5.324641020676424E-5,1.6948571513665573E-5,-4.273709666385862,160000000,4
1562,3.141662825,7.017141020693174E-5,2.23357546992433E-5,-4.15383979553995,160000000,4
1239,3.14161715,2.449641020696447E-5,7.797388745144987E-6,-4.6108975540654145,160000000,5
1179,3.141542425,-5.0228589793199774E-5,-1.5988512328685098E-5,-4.299049014825301,160000000,5
1323,3.14169415,1.0149641020706923E-4,3.23062670524657E-5,-3.993549317896887,160000000,5
1263,3.141416325,-1.7632858979332866E-4,-5.613028377998534E-5,-3.753677265790101,160000000,5
1289,3.14152325,-6.940358979301564E-5,-2.2092336828325442E-5,-4.158618065755836,160000000,5
1074,3.141543475,-4.917858979291978E-5,-1.5654276372196243E-5,-4.308223928910319,160000000,6
985,3.14163685,4.419641020669829E-5,1.4067956392445006E-5,-4.354613004196956,160000000,6
1093,3.14141875,-1.739035897929675E-4,-5.5358296245276913E-5,-3.7596914530105954,160000000,6
1116,3.1416569,6.424641020696953E-5,2.0449849315808333E-5,-4.192151133690973,160000000,6
1086,3.141735625,1.429714102068047E-4,4.550714231621724E-5,-3.8447507991138528,160000000,6
941,3.141624675,3.202141020697269E-5,1.0192627547710704E-5,-4.494559545882662,160000000,7
874,3.141711525,1.1887141020672232E-4,3.7836513397493526E-5,-3.924922585099341,160000000,7
938,3.14139555,-1.9710358979319054E-4,-6.27439577907311E-5,-3.7053054659631917,160000000,7
936,3.141330425,-2.622285897930787E-4,-8.347692038575621E-5,-3.581319960576933,160000000,7
983,3.141492575,-1.0007858979310669E-4,-3.185701936383112E-5,-3.9996588229128287,160000000,7
894,3.1415469,-4.5753589793307015E-5,-1.456403206754832E-5,-4.339574825832227,160000000,8
819,3.14171755,1.2489641020696496E-4,3.975418165995379E-5,-3.903450044009459,160000000,8
875,3.141531375,-6.127858979310119E-5,-1.950596141765453E-5,-4.212691237698585,160000000,8
848,3.141956425,3.637714102069367E-4,1.1577862993658059E-4,-3.43917143632606,160000000,8
937,3.1417332,1.4054641020688763E-4,4.4735310498958865E-5,-3.8521802425307476,160000000,8
