temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
4973,3.141745375,1.5272141020705732E-4,4.8610371617737265E-5,-3.816100074384454,160000000,1
4969,3.141798575,2.059214102070328E-4,6.554252454170547E-5,-3.686298496260223,160000000,1
5156,3.1416934,1.0074641020674235E-4,3.206755000559328E-5,-3.996770419679937,160000000,1
5156,3.141788775,1.9612141020708407E-4,6.242348682625363E-5,-3.7074749926288315,160000000,1
5143,3.14165315,6.0496410206667406E-5,1.9256234637699393E-5,-4.218270395160591,160000000,1
5054,3.1416287125,3.605891020708185E-5,1.1477775863076897E-5,-4.44298740291042,320000000,2
5141,3.1416807875,8.813391020678907E-5,2.8053107927913274E-5,-4.0548569612569825,320000000,2
5270,3.141333775,-2.5887858979301015E-4,-8.241040536770409E-5,-3.586903865823315,320000000,2
5234,3.14162425,3.159641020689108E-5,1.0057348585493978E-5,-4.500362256492313,320000000,2
5234,3.141398925,-1.937285897932739E-4,-6.166952826383676E-5,-3.7128062828780566,320000000,2
5673,3.14162069375,2.804016020707678E-5,8.925380540961042E-6,-4.552219509362631,640000000,4
5604,3.14160631875,1.3665160206954852E-5,4.349736669867669E-6,-4.864385272380497,640000000,4
5711,3.1416820375,8.938391020674175E-5,2.8450972803686137E-5,-4.0487406505252235,640000000,4
5813,3.14150864375,-8.400983979317544E-5,-2.6741877651781152E-5,-4.075669843490419,640000000,4
5828,3.14168360625,9.095266020686665E-5,2.8950292774844457E-5,-4.041184594057702,640000000,4
