temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
2215,3.141539075,-5.357858979326835E-5,-1.7054885683148268E-5,-4.271008721356061,160000000,1
2155,3.1415828,-9.853589792996331E-6,-3.13650488314245E-6,-5.006405521454889,160000000,1
2667,3.141627275,3.462141020671439E-5,1.1020215695929235E-5,-4.460655246324255,160000000,1
2702,3.141386225,-2.0642858979291745E-4,-6.57125787813364E-5,-3.6852301542858865,160000000,1
2695,3.1413764,-2.1625358979315834E-4,-6.884039422756163E-5,-3.6650366745479115,160000000,1
2225,3.1416084875,1.583391020698599E-5,5.040064753449324E-6,-4.8004118222434125,320000000,2
2193,3.1415619875,-3.0666089793296436E-5,-9.761414836095586E-6,-4.513341597002734,320000000,2
2665,3.1416007375,8.083910207012934E-6,2.573181916632057E-6,-5.092378519107176,320000000,2
2675,3.141770675,1.7802141020695217E-4,5.66627639704964E-5,-3.7495277629968973,320000000,2
2233,3.14154535,-4.730358979321281E-5,-1.5057427005856469E-5,-4.325105900103077,320000000,2
2255,3.1415774333333335,-1.5220256459613779E-5,-4.844781573142543E-6,-4.817578029690496,480000000,3
2226,3.1416166666666667,2.4013076873607986E-5,7.643541342389954E-6,-4.619552188813629,480000000,3
2692,3.141519725,-7.292858979290884E-5,-2.3214430013775844E-5,-4.137102184230494,480000000,3
2703,3.141502925,-8.972858979294784E-5,-2.8562312986847796E-5,-4.047069157724933,480000000,3
2693,3.141628566666667,3.591307687367262E-5,1.143135673475784E-5,-4.4447473848485,480000000,3
2300,3.1416216375,2.8983910207003305E-5,9.225780043349763E-6,-4.53784302442837,640000000,4
2216,3.14158533125,-7.322339793169874E-6,-2.330778578679065E-6,-5.135350121551919,640000000,4
2718,3.141628125,3.547141020687761E-5,1.1290773062734026E-5,-4.450121545306154,640000000,4
2712,3.14155560625,-3.704733979326136E-5,-1.1792673578515418E-5,-4.431242971344175,640000000,4
2719,3.14155805625,-3.459733979305213E-5,-1.1012796572141059E-5,-4.46095729304576,640000000,4
2329,3.141506215,-8.643858979295871E-5,-2.751501473408949E-5,-4.063292327051779,800000000,5
2270,3.141594295,1.641410206865146E-6,5.224768231459836E-7,-5.784782870308759,800000000,5
2745,3.14153109,-6.156358979314547E-5,-1.9596683282591823E-5,-4.210676064248297,800000000,5
2761,3.14153215,-6.050358979292625E-5,-1.925926169271457E-5,-4.218218857066406,800000000,5
2732,3.14154555,-4.7103589793096035E-5,-1.4993763115449985E-5,-4.3269459937644354,800000000,5
2401,3.141477366666667,-1.1528692312623434E-4,-3.6698314095626305E-5,-3.938219951475452,960000000,6
2328,3.1416375458333334,4.489224354031762E-5,1.4289440740819055E-5,-4.347828689701217,960000000,6
2804,3.1415976666666667,5.01307687361674E-6,1.5957093827790403E-6,-5.299895635596088,960000000,6
2805,3.1416400916666665,4.7438076873351775E-5,1.5099780843510142E-5,-4.323872925466318,960000000,6
2791,3.1416568833333334,6.422974354025612E-5,2.0444544367973004E-5,-4.192263812055243,960000000,6
2463,3.141675428571429,8.277498163566932E-5,2.6347400779496965E-5,-4.082100906927792,1120000000,7
2368,3.1416330214285715,4.0367838778365694E-5,1.2849317059956775E-5,-4.393964501314361,1120000000,7
2844,3.1416107785714287,1.8124981635558868E-5,5.7693275561655555E-6,-4.74172242478894,1120000000,7
2836,3.1415417535714285,-5.0900018364608E-5,-1.62022415607696E-5,-4.2932820609707765,1120000000,7
2852,3.1415504642857144,-4.218930407873245E-5,-1.3429452927258615E-5,-4.374797638336039,1120000000,7
2590,3.141588453125,-4.2004647933246986E-6,-1.337051257985881E-6,-5.376702651028839,1280000000,8
2432,3.14159198125,-6.72339793172938E-7,-2.1401244884302972E-7,-6.172411183786198,1280000000,8
2884,3.141574875,-1.7778589793238098E-5,-5.6591329191980814E-6,-4.7501026904582755,1280000000,8
2895,3.141611303125,1.8649535206805012E-5,5.936296189237061E-6,-4.729331987428226,1280000000,8
2882,3.14161974375,2.709016020707722E-5,8.622991455592585E-6,-4.567188426607885,1280000000,8
