temps_ms,pi_valeur,difference,error_percent,ntotal,n_workers
4741,3.14117056,-4.22093589793171E-4,-0.01343565625259719,100000000,1
2244,3.14126656,-3.26093589793075E-4,-0.010379881345229743,100000000,2
1500,3.1418854714188544,2.9281782906132037E-4,0.009320680984109356,100000000,3
1167,3.14146692,-1.2573358979306448E-4,-0.004002224465650978,100000000,4
929,3.14172596,1.333064102069237E-4,0.00424327482605356,100000000,5
801,3.141329125653165,-2.6352793662809404E-4,-0.008388354751433782,100000000,6
686,3.1414545828290916,-1.3807076070149193E-4,-0.00439492881242013,100000000,7
637,3.141965,3.7234641020678083E-4,0.011852154345386345,100000000,8
566,3.141708711417087,1.1605782729384728E-4,0.0036942353796642563,100000000,9
586,3.1413475600000003,-2.450935897928552E-4,-0.007801571267134043,100000000,10
